51,54,53,50,53,57,49,43,60,49,44,58,47,50,54,40,51,46,58,49,54,52,44,52,50,54,50,57,60,47,50,61
46,45,28,49,54,48,76,41,33,44,54,51,53,80,51,45,45,57,54,47,63,45,68,49,77,51,77,54,51,56,54,57
59,45,56,70,51,33,45,51,56,62,54,35,49,51,30,50,52,45,60,53,54,55,55,55,53,35,48,30,47,61,71,32
58,37,49,52,40,60,52,59,53,49,51,41,35,50,50,64,66,67,42,50,40,58,51,65,50,50,45,53,54,67,51,59
56,50,24,46,48,68,68,48,58,60,32,44,47,48,46,60,49,59,60,61,31,47,29,44,58,49,43,41,41,52,32,39
38,73,56,66,34,43,55,56,44,80,57,64,60,50,73,47,34,59,32,71,57,41,53,24,45,64,63,22,32,37,33,35
34,62,60,27,55,49,33,43,33,47,39,37,65,67,25,69,27,37,38,70,38,33,42,30,39,33,69,48,37,38,54,49
27,46,53,55,35,44,25,40,47,41,44,71,75,30,76,42,48,44,25,50,44,45,28,54,43,75,51,74,61,53,42,69
51,63,34,49,68,58,52,31,70,41,28,50,48,68,39,48,70,32,55,47,29,63,46,48,67,59,31,57,50,44,56,63
49,54,51,42,50,52,46,51,19,61,56,50,53,51,42,48,46,52,54,35,50,43,68,49,54,54,73,56,51,56,71,56
59,64,49,49,50,56,50,54,54,48,55,44,49,64,57,64,47,43,66,50,70,61,59,35,69,32,50,33,67,60,56,32
59,53,28,71,34,43,37,70,54,57,48,62,35,47,60,56,50,69,42,61,59,60,46,55,47,50,45,55,69,53,37,61
55,32,33,72,50,67,49,51,59,72,60,74,47,52,48,63,61,60,57,50,67,66,52,60,59,44,46,41,49,41,40,43
37,47,49,72,64,33,71,34,43,71,47,51,66,35,64,48,61,61,34,60,46,47,46,59,45,62,64,22,34,38,30,35
34,49,73,43,75,49,69,58,34,49,46,38,69,28,43,69,61,36,41,73,72,35,35,42,35,33,69,52,37,36,46,50
27,68,69,57,50,46,45,49,48,42,35,71,75,59,47,44,43,49,25,76,29,43,43,67,47,75,58,60,58,53,69,69
54,30,55,50,63,62,66,39,72,48,48,49,52,52,36,43,71,37,55,48,51,58,63,44,70,48,33,55,49,40,46,59
50,67,28,40,46,53,44,35,19,62,64,46,25,60,58,48,46,54,57,51,48,46,56,47,52,46,73,37,51,56,52,58
62,47,51,51,48,55,44,53,52,50,56,46,53,48,60,62,50,49,64,52,31,53,72,34,70,53,46,47,67,58,72,34
63,44,43,62,51,40,49,61,50,60,64,61,52,51,74,55,47,71,42,64,51,61,52,52,41,62,43,41,68,57,48,60
52,47,27,66,69,67,66,51,32,72,43,74,56,35,53,67,68,61,62,49,76,68,32,59,52,52,51,57,50,41,41,39
39,71,54,47,65,30,66,34,49,71,60,54,40,33,35,51,61,61,38,28,60,47,55,58,45,39,65,39,34,36,45,35
37,68,60,51,50,47,67,58,69,42,42,38,37,29,66,34,61,37,40,49,40,36,48,43,40,67,58,72,38,34,62,52
27,50,56,45,63,43,46,47,78,41,49,71,47,51,37,73,50,45,25,60,51,43,28,67,46,49,37,55,52,53,43,61
57,62,34,43,55,61,64,35,63,48,44,50,65,54,38,45,71,33,56,30,63,59,42,49,70,47,61,53,50,36,58,50
45,50,52,38,63,55,42,34,33,64,59,47,26,63,33,43,42,49,57,46,53,41,68,47,53,37,53,39,56,56,65,58
54,44,45,50,53,58,47,52,56,49,57,51,49,49,56,45,54,70,59,50,43,54,57,39,67,51,49,50,66,63,65,41
61,50,30,66,42,42,48,59,47,61,64,70,47,49,63,66,59,46,46,62,32,59,51,57,48,59,49,39,67,53,44,41
54,69,31,72,50,67,65,57,28,74,49,52,66,39,56,61,63,70,58,49,35,66,27,59,56,54,36,57,50,38,37,30
38,64,56,72,38,32,64,34,48,71,65,38,52,51,32,45,48,67,40,62,56,41,52,61,42,36,48,39,32,38,50,51
35,68,61,50,50,48,65,57,70,52,41,62,55,34,63,66,32,62,39,71,39,36,42,41,35,69,68,70,38,36,64,58
27,50,54,56,69,44,42,48,78,22,49,52,38,62,42,46,48,32,25,76,55,48,28,68,50,51,27,58,56,54,51,67
57,61,35,48,32,62,62,42,59,40,42,49,66,47,41,47,70,44,52,45,56,62,46,45,72,49,67,56,53,40,69,51
48,51,51,39,74,51,38,32,33,36,58,35,26,45,33,44,44,51,54,47,57,43,68,46,51,53,48,34,68,52,56,33
59,68,47,53,48,56,47,51,50,61,58,25,54,35,57,67,53,47,60,46,48,59,58,36,69,41,52,44,50,65,37,60
58,48,29,64,50,40,49,65,42,38,64,47,53,55,57,57,61,65,42,62,32,61,52,53,49,32,67,41,55,53,54,48
56,50,30,65,56,64,66,49,68,65,46,63,55,64,52,66,66,57,55,50,28,70,31,58,58,35,64,53,40,42,27,37
34,46,56,46,69,38,67,55,47,80,60,41,35,57,33,47,46,58,35,62,54,45,54,58,44,51,44,40,34,39,33,24
36,63,64,57,48,50,73,44,73,46,43,61,35,44,64,67,34,36,39,70,38,38,41,43,37,52,31,72,35,34,48,49
27,32,50,46,65,43,39,40,78,45,48,54,48,63,38,43,50,47,25,76,48,45,28,67,44,68,44,58,59,54,69,69
52,63,53,41,53,60,63,34,58,47,46,72,62,47,44,45,70,34,52,52,32,63,51,52,70,51,67,56,50,44,46,62
48,53,47,34,65,51,41,50,33,60,60,51,26,46,33,47,44,53,55,23,52,45,57,56,53,41,38,38,50,59,58,56
58,67,38,53,50,58,46,68,54,51,56,34,53,38,54,64,44,52,60,44,58,55,49,48,68,48,48,47,44,66,73,36
56,46,39,69,50,45,51,58,51,58,66,43,48,55,60,56,50,55,41,49,67,57,53,53,42,32,42,36,60,53,48,57
